gene_id	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000229376	0.367485633405269	0	4.99745499514185	0	1	NA
ENSG00000223181	4.91487782994073	1.49155752765849	1.7533407065129	0.850694632319894	0.394939005693169	NA
ENSG00000229905	0.367485633405269	0	4.99745499514185	0	1	NA
ENSG00000228327	0	NA	NA	NA	NA	NA
ENSG00000237491	258.091107682064	-0.0505635008251202	0.272472166245672	-0.185573086314916	0.85277956093741	0.946679345096638
ENSG00000285268	0	NA	NA	NA	NA	NA
ENSG00000230092	0	NA	NA	NA	NA	NA
ENSG00000177757	23.1407330163998	-1.55559963965843	2.1957126025463	-0.708471426476514	0.478652550252638	NA
ENSG00000228794	1414.36995345097	0.177825967840333	0.130312301375981	1.36461382358112	0.172374457683506	0.468754955258104
ENSG00000297178	0	NA	NA	NA	NA	NA
ENSG00000297224	0	NA	NA	NA	NA	NA
ENSG00000230368	2.75708281987104	-4.32107551063763	2.7358077534163	-1.57945144546131	0.114232545180991	NA
ENSG00000234711	14.5896935178146	-2.6324288004526	2.0984915860647	-1.25443857765911	0.209682637984273	NA
ENSG00000283040	0.207974359801854	0	4.9974549951827	0	1	NA
ENSG00000296088	22.4278495885476	-0.413095085953195	1.19620235875945	-0.345338799015248	0.729839681337049	NA
ENSG00000272438	112.782805370096	-0.510212482389481	0.386221863734861	-1.3210346961086	0.18648979563943	NA
ENSG00000298603	2.0312805118201	0	3.95369529176255	0	1	NA
ENSG00000223764	75.2321355938078	0.413166579858911	0.533816134854065	0.773986683583221	0.438938666101218	NA
ENSG00000187634	49.4318392613199	0.35071829302592	0.651367768450038	0.538433600821962	0.590277734251993	NA
ENSG00000188976	10805.273043044	0.24027902873464	0.139039564107425	1.72813422047983	0.0839641635646608	0.319222836773488
ENSG00000187961	637.682657045492	-0.803631218360398	0.210655265477625	-3.81491161181422	0.000136231686135288	0.00620812050958699
ENSG00000187583	837.96958464494	-0.051379611071612	0.207096227593187	-0.248095350015454	0.804060633322495	0.926124487448496
ENSG00000187642	9.01967776303609	-0.870453644687323	1.18963324234001	-0.731699160469943	0.464352208953013	NA
ENSG00000303599	6.6514468951777	1.01475961429543	1.60727196408943	0.631355263432549	0.527808260212716	NA
ENSG00000272512	103.462338382464	-0.37487574194831	0.392676185657947	-0.954668899312517	0.339745162359288	NA
ENSG00000188290	604.923643104817	-0.549700286773259	0.233402451054826	-2.35516072898538	0.0185146954102652	0.134098641451623
ENSG00000303623	32.7945298283811	0.585462971699611	0.784876220137586	0.74593032210478	0.455709507124651	NA
ENSG00000187608	2540.63828832108	0.0082531028510527	0.135120920016048	0.0610793861533249	0.951295985960557	0.983761986722441
ENSG00000303614	28.6853276039051	-1.14788037917517	0.805992584452274	-1.42418230802363	0.154393704935177	NA
ENSG00000231702	1.24784615881112	0	4.99745499510557	0	1	NA
ENSG00000224969	12.601012360693	-0.0939637774836204	1.12343444872833	-0.0836397509351638	0.933342860972699	NA
ENSG00000188157	44119.2219621229	0.425394734441501	0.266150867258728	1.59832180455745	0.109971377175404	0.370680752998632
ENSG00000242590	0	NA	NA	NA	NA	NA
ENSG00000291156	103.950053401448	-0.472216763152179	0.416292467358261	-1.13433895681276	0.256652393983152	NA
ENSG00000273443	13.3680270501096	-0.685732798967493	1.01334815157804	-0.676700103414242	0.49859625086043	NA
ENSG00000217801	4.14558066629073	-0.560520046525585	1.77327445465773	-0.316093228012905	0.751931746697622	NA
ENSG00000304119	190.459056750489	-0.682074775593579	0.315194930609046	-2.16397761942306	0.0304660670902675	0.179614244634676
ENSG00000304169	4.92634873732577	0.674215217064499	2.04787122777851	0.329227349805522	0.741983852028366	NA
ENSG00000237330	512.522522083229	0.127232183527279	0.283337794583047	0.449047694870751	0.65339725097464	0.860089204797164
ENSG00000131591	529.888952470477	-0.272986824042522	0.195264563029648	-1.39803566918117	0.162102356213607	0.452737871100775
ENSG00000285812	0.367485633405269	0	4.99745499514185	0	1	NA
ENSG00000299943	1.63956333531561	0	4.31303027818279	0	1	NA
ENSG00000223823	0.858527458464738	3.89061097445848	4.82105610781928	0.80700387787404	0.419664248981612	NA
ENSG00000304965	26.8094830466021	0.741217106954501	0.762963808691597	0.971497073007448	0.331300809979454	NA
ENSG00000207730	48.7759925083268	-0.919976564938693	0.745864638919801	-1.23343635953978	0.217413006625429	NA
ENSG00000207607	48.5693773726868	-0.627592412413218	0.651048365873549	-0.963972026212125	0.335059950880615	NA
ENSG00000198976	75.5856204485198	-0.516598969680301	0.444410856276261	-1.16243553096094	0.245058597679385	NA
ENSG00000272141	564.616342289072	-0.400294472360413	0.21797374001052	-1.83643439040452	0.0662934372393204	0.281872056232272
ENSG00000205231	9.81940035618056	0.969612863943292	1.53925817310828	0.629922179971485	0.528745500474618	NA
ENSG00000162571	33.0909426796198	-0.59250893367691	0.792834530875555	-0.747329878559378	0.454864461174177	NA
ENSG00000186891	19.4053906708378	-3.67563756928174	1.73652342514598	-2.11666454713834	0.0342883277530574	NA
ENSG00000186827	26.0835721998555	0.398422746715986	1.06702792737888	0.373394862957992	0.708854582261518	NA
ENSG00000078808	5833.84724121632	0.345820446741599	0.11881512967002	2.91057584755435	0.00360763392333842	0.0497478219263192
