ensembl_id	ensembl	log2FC	hgnc_symbol
ENSG00000042429	ENSG00000042429.12	-1.20365236770095	MED17
ENSG00000043039	ENSG00000043039.7	-2.96376235499481	BARX2
ENSG00000043355	ENSG00000043355.12	-1.1394904382246	ZIC2
ENSG00000043514	ENSG00000043514.17	-1.02191665425923	TRIT1
ENSG00000046651	ENSG00000046651.16	-1.07520242153785	OFD1
ENSG00000047365	ENSG00000047365.13	-2.38964032846907	ARAP2
ENSG00000048162	ENSG00000048162.22	-1.47118530536249	NOP16
ENSG00000048405	ENSG00000048405.11	-1.04799959659432	ZNF800
ENSG00000049130	ENSG00000049130.16	-1.8382598572726	KITLG
ENSG00000049283	ENSG00000049283.19	-1.49052129941325	EPN3
ENSG00000049618	ENSG00000049618.25	-1.16255972675266	ARID1B
ENSG00000049759	ENSG00000049759.20	-1.02607022792242	NEDD4L
ENSG00000050130	ENSG00000050130.18	-1.09472022483666	JKAMP
ENSG00000050820	ENSG00000050820.17	-1.09054696981015	BCAR1
ENSG00000051382	ENSG00000051382.10	-1.16319937467403	PIK3CB
ENSG00000052126	ENSG00000052126.17	-2.08750954734186	PLEKHA5
ENSG00000052749	ENSG00000052749.15	-1.20233976817544	RRP12
ENSG00000052795	ENSG00000052795.13	-1.14276636138097	FNIP2
ENSG00000053501	ENSG00000053501.15	-1.18150149754802	USE1
ENSG00000053900	ENSG00000053900.11	-1.21286633032216	ANAPC4
ENSG00000054118	ENSG00000054118.15	-1.98598929543562	THRAP3
ENSG00000054598	ENSG00000054598.9	-2.38216453142513	FOXC1
ENSG00000055044	ENSG00000055044.11	-1.19396271595545	NOP58
ENSG00000055130	ENSG00000055130.18	-1.31070180358313	CUL1
ENSG00000055917	ENSG00000055917.17	-1.38845955189748	PUM2
ENSG00000056050	ENSG00000056050.7	-1.3670102688865	HPF1
ENSG00000056736	ENSG00000056736.10	-1.09133947189346	IL17RB
ENSG00000056972	ENSG00000056972.21	-1.4446864489452	TRAF3IP2
ENSG00000057657	ENSG00000057657.17	-2.58804451270486	PRDM1
ENSG00000057663	ENSG00000057663.16	-1.01894889621548	ATG5
ENSG00000057935	ENSG00000057935.14	-1.32821734179515	MTA3
ENSG00000058272	ENSG00000058272.19	-1.18218046217516	PPP1R12A
ENSG00000058600	ENSG00000058600.16	-2.49242475045442	POLR3E
ENSG00000058673	ENSG00000058673.17	-1.01650795863868	ZC3H11A
ENSG00000058729	ENSG00000058729.11	-1.31841284654433	RIOK2
