ensembl	log2FC
ENSG00000292994.2	2.41702279770407
ENSG00000290385.2	1.5175798590594
ENSG00000293331.2	4.66577615460854
ENSG00000225630.1	2.91869729954152
ENSG00000278791.1	5.82002657778148
ENSG00000248527.1	1.85812169098062
ENSG00000177757.3	7.20557006764886
ENSG00000234711.1	5.43724514719982
ENSG00000296088.1	4.14002148543397
ENSG00000223764.3	1.93011366950141
ENSG00000187608.10	0.827195147678817
ENSG00000188157.16	1.53870211677001
ENSG00000205231.1	3.78460573221651
ENSG00000186891.14	3.23953173210715
ENSG00000186827.12	3.77918450111262
ENSG00000078808.20	1.36203140812601
ENSG00000162572.21	1.5550722204417
ENSG00000169962.5	1.27363706947767
ENSG00000162576.17	2.22848130649082
ENSG00000175756.14	0.761866885339469
ENSG00000301639.1	0.953792148016311
ENSG00000272455.1	0.824097939544347
ENSG00000225905.2	3.95393267855124
ENSG00000205116.4	7.42843681318024
ENSG00000179403.12	1.24206071026149
ENSG00000215915.10	5.02931094641308
ENSG00000205090.10	1.15450670704967
ENSG00000215014.5	1.97487622498725
ENSG00000286989.2	7.93750374891198
ENSG00000189339.12	0.729514072805977
ENSG00000310190.1	1.41172617112187
ENSG00000078369.19	0.756599309314171
ENSG00000271806.1	6.14772031576399
ENSG00000182873.5	2.81418137509272
ENSG00000116151.14	0.633798747231945
ENSG00000292993.1	2.3947250412159
ENSG00000149527.18	1.81229408585581
ENSG00000142606.16	5.91848436153953
ENSG00000162591.17	1.10257113303866
ENSG00000158109.15	0.626223000510602
ENSG00000116254.18	4.66104884443087
ENSG00000097021.21	0.81805352884149
ENSG00000049245.13	0.785543397390986
ENSG00000049246.15	0.944378830682659
ENSG00000236266.2	6.42533345939357
ENSG00000049247.14	4.02734348430493
ENSG00000049249.10	3.22055655801775
ENSG00000116288.13	0.613187855231015
ENSG00000299004.1	1.74421130040472
ENSG00000284747.1	2.08654135474352
ENSG00000238290.2	0.948818735583181
ENSG00000142599.20	0.756258035981699
ENSG00000074800.16	0.919510919836719
ENSG00000238249.2	6.27794334886428
ENSG00000197241.4	4.89035216597913
ENSG00000142583.18	4.30771317491674
ENSG00000049239.13	1.39345369094692
ENSG00000171608.18	1.46934694426352
ENSG00000301080.1	5.63628069601956
ENSG00000171603.18	1.65289666681073
ENSG00000162444.12	3.73979131085677
ENSG00000142657.21	0.776185125753343
ENSG00000203469.2	6.19402246451272
ENSG00000272078.1	5.19654349333943
ENSG00000175262.15	4.92886567348564
ENSG00000204624.8	1.77218302214092
ENSG00000116661.11	1.16709827099814
ENSG00000116670.17	0.936770200042192
ENSG00000177674.16	0.853074966665647
ENSG00000215910.8	4.23575159416174
ENSG00000177553.6	4.44799021377159
ENSG00000120937.9	3.72730531721761
ENSG00000224904.1	7.43196863781043
ENSG00000083444.17	1.75398497990379
ENSG00000120949.15	5.35274218189518
ENSG00000229484.4	7.49716960558197
ENSG00000162496.10	1.03126208084291
ENSG00000304226.1	2.91918396431877
ENSG00000142634.13	1.09267980518382
ENSG00000162438.12	3.85764772305827
ENSG00000142615.8	6.09556367173069
ENSG00000215704.10	8.39007224895041
ENSG00000237301.2	5.73661304992822
ENSG00000162461.8	2.66838652672342
ENSG00000224459.3	6.89468277872291
ENSG00000162460.7	3.39439935251242
ENSG00000297277.1	7.59852804052792
ENSG00000224321.1	6.34309159717338
ENSG00000233954.7	1.06745373540381
ENSG00000234607.2	6.32875133616298
ENSG00000224966.4	5.1732017407918
ENSG00000173641.18	6.48619894190316
ENSG00000307216.1	8.19405184196905
ENSG00000184908.20	5.25855887205015
ENSG00000185519.9	3.12216244952944
ENSG00000237276.10	2.25907206070635
ENSG00000132881.12	0.808132415291085
ENSG00000187144.11	7.59252422855187
ENSG00000226029.1	2.16168595024086
ENSG00000306228.1	2.72284465567576
ENSG00000224174.3	2.81792759000914
ENSG00000298308.1	3.77627990206546
