iter	RMSE
0	0.5951224428
1	0.5817071941
2	0.5720386154
3	0.5624057535
4	0.5562877426
5	0.5468264363
6	0.5383977486
7	0.5306245393
8	0.5218454006
9	0.5112821962
10	0.5032625475
11	0.4982304117
12	0.4913378328
13	0.4833237899
14	0.4766289753
15	0.469208778
16	0.4637617488
17	0.45759912
18	0.4527224185
19	0.4475207823
20	0.4437910195
21	0.4369932389
22	0.432311079
23	0.4264942514
24	0.4213734893
25	0.4166884594
26	0.4129512884
27	0.4068798949
28	0.4027332982
29	0.3945883905
30	0.3882103069
31	0.3829099469
32	0.3780147821
33	0.3748776899
34	0.3708119073
35	0.3658217221
36	0.3616860912
37	0.3574824955
38	0.3531483726
39	0.3490248383
40	0.3438746952
41	0.340349524
42	0.3365887326
43	0.3336788119
44	0.3315961359
45	0.3283727094
46	0.3252321095
47	0.3238245525
48	0.3190192025
49	0.3145747401
50	0.3115106093
51	0.3078409981
52	0.3035147171
53	0.3011133093
54	0.2982650728
55	0.2960079846
56	0.2930986877
57	0.2926913563
58	0.2900813753
59	0.2853018728
60	0.2827789566
61	0.2798055584
62	0.276767247
63	0.2760967386
64	0.2734499087
65	0.2718060265
66	0.269135484
67	0.2678748691
68	0.2662228987
69	0.2650323809
70	0.2634147525
71	0.2595328765
72	0.255705648
73	0.2545916571
74	0.2528480309
75	0.2491649829
76	0.2457376027
77	0.2450489004
78	0.2440945211
79	0.2431302511
80	0.2380016716
81	0.2358673537
82	0.2323204516
83	0.2298825329
84	0.2267158974
85	0.2238996692
86	0.2208633561
87	0.2178435422
88	0.2170124863
89	0.2136746122
90	0.210251032
91	0.2078411231
92	0.2073761936
93	0.2065586759
94	0.2051734599
95	0.2041625063
96	0.2031869862
97	0.200016764
98	0.1991747441
99	0.1987624621
100	0.1980759056
101	0.1963019542
102	0.195117565
103	0.1930130319
104	0.1921036874
105	0.1918089055
106	0.1893925184
107	0.1870411482
108	0.1839280311
109	0.1809764984
110	0.1784762765
111	0.1761785221
112	0.1741825681
113	0.1718514964
114	0.1712172954
115	0.1707156582
116	0.1690803072
117	0.1673128863
118	0.166404463
119	0.1654419215
120	0.164715158
121	0.162867732
122	0.1608186262
123	0.1598915945
124	0.1576585529
125	0.1548465489
126	0.1541430986
127	0.1525960008
128	0.1500793875
129	0.1491083255
130	0.1484829614
131	0.1471866615
132	0.1453234731
133	0.1439208047
134	0.1430509077
135	0.1411602383
136	0.1403974945
137	0.1396023785
138	0.1389277377
139	0.1376603909
140	0.1373896815
141	0.1356844418
142	0.1348262124
143	0.1341769212
144	0.1335970926
145	0.1322347175
146	0.1305426887
147	0.1299450076
148	0.1296163438
149	0.1286630779
150	0.1272930186
151	0.1260601204
152	0.1250668398
153	0.1243328159
154	0.1224435901
155	0.1214431887
156	0.1202073949
157	0.118072897
158	0.1170315931
159	0.114705324
160	0.1136986479
161	0.1126655212
162	0.1107832714
163	0.1095536411
164	0.1076695033
165	0.1063454118
166	0.1053470242
167	0.1033289107
168	0.1022556989
169	0.1016460525
170	0.1008436056
171	0.09974929869
172	0.09836597861
173	0.09694410793
174	0.09646079659
175	0.09613316958
176	0.09564923071
177	0.09476702815
178	0.09349033901
179	0.09253614824
180	0.09104942519
181	0.09062021045
182	0.09022800104
183	0.09007652595
184	0.08907509213
185	0.08796092252
186	0.08659157344
187	0.08583996082
188	0.08501463665
189	0.08447090223
190	0.08412290585
191	0.08295316264
192	0.08166240526
193	0.08112766664
194	0.0799374103
195	0.0788251023
196	0.07856641384
197	0.07728747199
198	0.07617087012
199	0.0751678962
200	0.07405539832
201	0.07300527086
202	0.07282709587
203	0.07254506405
204	0.07209576872
205	0.0713389699
206	0.07114944347
207	0.07088386383
208	0.07005232966
209	0.06920259582
210	0.06865259258
211	0.06780718336
212	0.0669668682
213	0.0667173141
214	0.06622851623
215	0.06554528198
216	0.06454645622
217	0.06439597112
218	0.06367949525
219	0.06331517312
220	0.06225404432
221	0.06139681239
222	0.06106324723
223	0.06039663263
224	0.05957046913
225	0.05909839642
226	0.05830386226
227	0.05799513226
228	0.0570282152
229	0.05640642559
230	0.05534678932
231	0.05488634303
232	0.05433800144
233	0.05399517639
234	0.05359895463
235	0.05293429775
236	0.05245968266
237	0.05225619737
238	0.05176424932
239	0.05158008685
240	0.0512771856
241	0.05048204636
242	0.0498045167
243	0.0491945924
244	0.0485852533
245	0.04816012115
246	0.04751466279
247	0.04674516593
248	0.04643711571
249	0.04565833863
250	0.04507534498
251	0.04419404575
252	0.04351597297
253	0.04311799679
254	0.04264927736
255	0.04239426209
256	0.04184825107
257	0.04174153238
258	0.04096980841
259	0.04082549358
260	0.04039621876
261	0.03992551618
262	0.03940903052
263	0.03937074931
264	0.03881840249
265	0.03857191332
266	0.03817402499
267	0.03758577618
268	0.03708590904
269	0.03688906011
270	0.03641867404
271	0.03628765713
272	0.03578312951
273	0.03532862828
274	0.03523576478
275	0.03486256534
276	0.03449420472
277	0.03407454339
278	0.03359578688
279	0.03322403775
280	0.03318330709
281	0.03272634092
282	0.03261805429
283	0.03249520965
284	0.03188669399
285	0.03156377473
286	0.03146363975
287	0.03136449877
288	0.03126438913
289	0.03089386717
290	0.03061733547
291	0.03059222529
292	0.0302481595
293	0.03020169575
294	0.03011410833
295	0.02983384765
296	0.02964945517
297	0.02962100938
298	0.02954473331
299	0.02913459623
300	0.02889020201
301	0.02847521769
302	0.02810251221
303	0.02787028679
304	0.02753735455
305	0.02706070081
306	0.0267996793
307	0.0263159029
308	0.02590489669
309	0.02554555723
310	0.02525994144
311	0.02511841882
312	0.02491605764
313	0.02469336419
314	0.0244723359
315	0.02433312239
316	0.02402555042
317	0.02367711108
318	0.02364999137
319	0.02356438056
320	0.0234594342
321	0.0231886384
322	0.02294790242
323	0.02284812773
324	0.02269119339
325	0.02220290397
326	0.02197957015
327	0.02167593126
328	0.02155278476
329	0.02122247493
330	0.02094727697
331	0.02085556459
332	0.02058281787
333	0.02026878522
334	0.02013271512
335	0.01986976935
336	0.01963813524
337	0.0193638515
338	0.01918394172
339	0.01893001233
340	0.01875970287
341	0.01865454051
342	0.01841619023
343	0.01815838239
344	0.0179059105
345	0.01772554046
346	0.01754058905
347	0.01747012502
348	0.01725607395
349	0.0170644172
350	0.01681847831
351	0.01674646292
352	0.01649648445
353	0.01633629644
354	0.01631961122
355	0.01615717439
356	0.01601520161
357	0.01593304018
358	0.01582878461
359	0.01566513519
360	0.0156192564
361	0.0155404037
362	0.01544195142
363	0.01535753847
364	0.01520323173
365	0.01508058418
366	0.01499587395
367	0.01497893032
368	0.01482795789
369	0.01469658667
370	0.01446928412
371	0.0144533403
372	0.01434592548
373	0.01416456785
374	0.01395756395
375	0.01384418237
376	0.01363986052
377	0.0133925307
378	0.01319948982
379	0.01304001119
380	0.01291370391
381	0.01284922548
382	0.01279926972
383	0.01262364495
384	0.01261416035
385	0.01254774552
386	0.01240809977
387	0.01231465515
388	0.01214322956
389	0.01198260909
390	0.01186067376
391	0.01172813493
392	0.01171428485
393	0.01167615513
394	0.01159200419
395	0.01144262518
396	0.01139572009
397	0.01134464171
398	0.01133418837
399	0.01123508744
400	0.01111056662
401	0.0110126616
402	0.01091368988
403	0.01079242894
404	0.01076217781
405	0.01072488107
406	0.01059371258
407	0.01055156973
408	0.01040084425
409	0.01029840285
410	0.0102162907
411	0.01017324659
412	0.01004385897
413	0.01001551227
414	0.009972201079
415	0.009843247318
416	0.009769202635
417	0.009685570952
418	0.009571025219
419	0.009472393373
420	0.00938058056
421	0.009341636931
422	0.009193916586
423	0.009024859063
424	0.008931574653
425	0.008779725328
426	0.008690832893
427	0.008612523629
428	0.008527660252
429	0.008402898631
430	0.008313251347
431	0.008276233489
432	0.008200727341
433	0.008101980514
434	0.007973349294
435	0.007943732932
436	0.007804002762
437	0.007706060921
438	0.007593319597
439	0.007497992653
440	0.007464713343
441	0.007386034069
442	0.007354570601
443	0.007296692455
444	0.007226148107
445	0.007114898434
446	0.006977017857
447	0.006899465185
448	0.006876831406
449	0.006766767033
450	0.006760827308
451	0.006710459126
452	0.006644843039
453	0.006623927402
454	0.006616082751
455	0.006602220797
456	0.006541334617
457	0.006493279953
458	0.006375211687
459	0.006307457258
460	0.006296609606
461	0.006240382102
462	0.006158003315
463	0.006044785635
464	0.005961847267
465	0.005943988524
466	0.005893288457
467	0.005803286859
468	0.005724597554
469	0.005684208138
470	0.005613687855
471	0.005527464248
472	0.005448774466
473	0.005402721607
474	0.005388348927
475	0.005337367293
476	0.005309379219
477	0.005286978143
478	0.005264264949
479	0.00520673365
480	0.005160922838
481	0.005150779403
482	0.005096707096
483	0.00503503129
484	0.00500125257
485	0.004950176162
486	0.004889476974
487	0.004882526325
