iter	Passed	Remaining
421	3021	558
422	3024	550
423	3032	543
424	3042	536
425	3048	529
426	3055	522
427	3058	514
428	3067	507
429	3074	500
430	3080	493
431	3088	486
432	3095	478
433	3101	471
434	3107	464
435	3117	457
436	3123	450
437	3127	442
438	3135	435
439	3145	428
440	3148	421
441	3156	414
442	3163	407
443	3168	399
444	3177	392
445	3183	385
446	3189	378
447	3196	370
448	3202	363
449	3210	356
450	3217	349
451	3223	342
452	3229	335
453	3238	328
454	3244	320
455	3250	313
456	3259	306
457	3262	299
458	3271	292
459	3277	285
460	3281	277
461	3290	270
462	3293	263
463	3302	256
464	3308	249
465	3314	241
466	3321	234
467	3327	227
468	3333	220
469	3339	213
470	3344	205
471	3353	198
472	3360	191
473	3369	184
474	3372	177
475	3383	170
476	3387	163
477	3396	156
478	3400	149
479	3408	142
480	3416	134
481	3423	127
482	3426	120
483	3436	113
484	3443	106
485	3450	99
486	3456	92
487	3462	85
488	3472	78
489	3478	70
490	3484	63
491	3494	56
492	3500	49
493	3503	42
494	3512	35
495	3519	28
496	3526	21
497	3532	14
498	3537	7
499	3545	0
