ensembl	log2FC
ENSG00000290825.2	-2.42258691388394
ENSG00000310526.1	-0.189164773474888
ENSG00000243485.6	-1.25585264439956
ENSG00000308361.1	0
ENSG00000241860.8	-0.166322482293734
ENSG00000308579.1	-1.9551912471512
ENSG00000269981.1	1.3036939959198
ENSG00000222623.1	-1.68987838801106
ENSG00000310527.1	-0.39200970411084
ENSG00000292994.2	-0.0248064265283171
ENSG00000236601.3	2.28801851308187
ENSG00000290385.2	-0.340323345448517
ENSG00000293331.2	1.08950281635276
ENSG00000225880.7	-0.0849431506139284
ENSG00000235146.3	0.553186991106064
ENSG00000225972.1	-0.304806598104182
ENSG00000225630.1	0.786323333070703
ENSG00000237973.1	0.149479712304205
ENSG00000278791.1	0
ENSG00000248527.1	0.639758076526137
ENSG00000229376.3	0
ENSG00000223181.1	1.49155752765849
ENSG00000229905.1	0
ENSG00000237491.11	-0.0505635008251202
ENSG00000177757.3	-1.55559963965843
ENSG00000228794.13	0.177825967840333
ENSG00000230368.3	-4.32107551063763
ENSG00000234711.1	-2.6324288004526
ENSG00000283040.1	0
ENSG00000296088.1	-0.413095085953195
ENSG00000272438.2	-0.510212482389481
ENSG00000298603.1	0
ENSG00000223764.3	0.413166579858911
ENSG00000187634.13	0.35071829302592
ENSG00000188976.11	0.24027902873464
ENSG00000187961.15	-0.803631218360398
ENSG00000187583.11	-0.051379611071612
ENSG00000187642.10	-0.870453644687323
ENSG00000303599.1	1.01475961429543
ENSG00000272512.1	-0.37487574194831
ENSG00000188290.11	-0.549700286773259
ENSG00000303623.1	0.585462971699611
ENSG00000187608.10	0.0082531028510527
ENSG00000303614.1	-1.14788037917517
ENSG00000231702.2	0
ENSG00000224969.1	-0.0939637774836204
ENSG00000188157.16	0.425394734441501
ENSG00000291156.2	-0.472216763152179
ENSG00000273443.2	-0.685732798967493
ENSG00000217801.13	-0.560520046525585
ENSG00000304119.1	-0.682074775593579
ENSG00000304169.1	0.674215217064499
ENSG00000237330.3	0.127232183527279
ENSG00000131591.18	-0.272986824042522
ENSG00000285812.1	0
ENSG00000299943.1	0
ENSG00000223823.1	3.89061097445848
ENSG00000304965.1	0.741217106954501
ENSG00000207730.3	-0.919976564938693
ENSG00000207607.3	-0.627592412413218
ENSG00000198976.1	-0.516598969680301
ENSG00000272141.1	-0.400294472360413
ENSG00000205231.1	0.969612863943292
ENSG00000162571.14	-0.59250893367691
ENSG00000186891.14	-3.67563756928174
ENSG00000186827.12	0.398422746715986
ENSG00000078808.20	0.345820446741599
ENSG00000176022.7	0.241682926253115
ENSG00000184163.3	-0.0904347961192664
ENSG00000260179.1	-0.525989046106772
ENSG00000160087.21	0.0723208680037607
ENSG00000230415.2	0.199659315675238
ENSG00000162572.21	-0.370049940578364
ENSG00000131584.19	-0.809807521647858
ENSG00000169972.13	-0.127641030293147
ENSG00000127054.22	-0.137210452770638
ENSG00000240731.1	-0.845672488781888
ENSG00000224051.7	0.0865194624795055
ENSG00000169962.5	-0.135996450202078
ENSG00000107404.21	-0.50476220189397
ENSG00000304860.1	-0.637605820948971
ENSG00000162576.17	-0.856384129980558
ENSG00000175756.14	0.0143672442736085
ENSG00000223663.2	1.75943622120168
ENSG00000221978.13	-0.318603639881173
ENSG00000224870.10	-0.37737051056166
ENSG00000242485.6	0.0367922585531088
ENSG00000301639.1	-0.328931391760494
ENSG00000272455.1	0.217067566625171
ENSG00000235098.9	2.34208637872063
ENSG00000225905.2	0.733056963835902
ENSG00000205116.4	-2.53524600471921
ENSG00000225285.2	-1.65011681231322
ENSG00000179403.12	0.0950338802057401
ENSG00000215915.10	-0.903767599592841
ENSG00000160072.20	-0.290763209100015
ENSG00000290916.2	0.674491624764456
ENSG00000197785.14	-0.162249156133274
ENSG00000205090.10	-0.127131400293121
ENSG00000299413.1	1.10190767335719
